ontology,method,num_classes,num_relations
dbpedia.owl,description,9,40
doap.rdf,title,0,0
schemaorg.ttl,description,0,0
org.ttl,title,6,42
void.ttl,description,2,12
adms.ttl,description,0,1
void.ttl,title,0,0
ns.rdf,abstract,0,0
dcmitype.ttl,abstract,0,0
doap.rdf,abstract,3,0
wgs84_pos.rdf,title,0,0
org.ttl,description,7,47
dcmitype.ttl,title,0,0
foaf.rdf,abstract,0,0
prov.ttl,title,0,0
ns.rdf,title,0,0
time.ttl,title,0,0
adms.ttl,abstract,0,1
foaf.rdf,description,0,0
skos.rdf,description,2,5
bibo.rdf,description,9,16
skos.rdf,abstract,2,5
prov.ttl,abstract,0,1
time.ttl,abstract,0,0
schemaorg.ttl,abstract,0,0
time.ttl,description,0,0
schemaorg.ttl,title,0,0
dbpedia.owl,abstract,9,40
wgs84_pos.rdf,description,0,0
void.ttl,abstract,2,12
wgs84_pos.rdf,abstract,0,0
bibo.rdf,title,0,0
doap.rdf,description,3,0
foaf.rdf,title,0,0
org.ttl,abstract,7,47
prov.ttl,description,0,1
bibo.rdf,abstract,9,16
adms.ttl,title,0,0
dcmitype.ttl,description,0,0
ns.rdf,description,0,0
dbpedia.owl,title,0,0
skos.rdf,title,0,0
dbpedia.owl,description,11,30
doap.rdf,title,0,0
schemaorg.ttl,description,0,0
org.ttl,title,6,23
void.ttl,description,2,9
adms.ttl,description,0,0
void.ttl,title,0,0
ns.rdf,abstract,0,0
dcmitype.ttl,abstract,0,0
doap.rdf,abstract,3,0
wgs84_pos.rdf,title,0,0
org.ttl,description,7,24
dcmitype.ttl,title,0,0
foaf.rdf,abstract,0,0
prov.ttl,title,0,0
ns.rdf,title,0,0
time.ttl,title,0,0
adms.ttl,abstract,0,0
foaf.rdf,description,0,0
skos.rdf,description,2,3
bibo.rdf,description,9,16
skos.rdf,abstract,2,3
prov.ttl,abstract,0,0
time.ttl,abstract,0,0
schemaorg.ttl,abstract,0,0
time.ttl,description,0,0
schemaorg.ttl,title,0,0
dbpedia.owl,abstract,11,30
wgs84_pos.rdf,description,0,0
void.ttl,abstract,2,9
wgs84_pos.rdf,abstract,0,0
bibo.rdf,title,0,0
doap.rdf,description,3,0
foaf.rdf,title,0,0
org.ttl,abstract,7,24
prov.ttl,description,0,0
bibo.rdf,abstract,9,16
adms.ttl,title,0,0
dcmitype.ttl,description,0,0
ns.rdf,description,0,0
dbpedia.owl,title,0,0
skos.rdf,title,0,0
dbpedia.owl,freq-5,5,322
wgs84_pos.rdf,freq-5,0,0
adms.ttl,freq-5,3,3
wgs84_pos.rdf,freq-10,0,0
foaf.rdf,freq-10,7,32
skos.rdf,freq-5,4,4
skos.rdf,freq-10,4,4
ns.rdf,freq-5,0,0
ns.rdf,freq-10,0,0
void.ttl,freq-5,5,10
dcmitype.ttl,freq-10,0,0
schemaorg.ttl,freq-10,0,0
adms.ttl,freq-10,3,3
bibo.rdf,freq-5,5,29
bibo.rdf,freq-10,10,31
org.ttl,freq-5,5,24
time.ttl,freq-5,5,28
dcmitype.ttl,freq-5,0,0
prov.ttl,freq-10,10,53
doap.rdf,freq-5,0,0
doap.rdf,freq-10,0,0
foaf.rdf,freq-5,5,30
dbpedia.owl,freq-10,10,385
time.ttl,freq-10,10,29
org.ttl,freq-10,10,27
void.ttl,freq-10,5,10
schemaorg.ttl,freq-5,0,0
prov.ttl,freq-5,5,47
